Serie,AMERB,Fecha colecta,dia,mes,ano,categoria,Especie,extraccion,peso,Diametro terreno ,Diametro extraida ,Circunferencia,Estipes,Largo total ,Estado reproductivo ,Soros liberados ,Largo hasta fronda,Observaciones
33,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,3.0400,NaN,20.0000,NaN,13.0000,108.0000,1.0000,NaN,NaN,se sac— del transecto 2
34,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,2.0000,NaN,12.0000,NaN,1.0000,153.0000,1.0000,NaN,NaN,se sac— del transecto 2
35,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,0.6200,NaN,10.0000,NaN,1.0000,78.0000,1.0000,NaN,NaN,se sac— del transecto 2
36,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,0.5600,NaN,11.0000,NaN,1.0000,101.0000,1.0000,NaN,NaN,se sac— del transecto 2
37,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,3.5400,NaN,21.0000,NaN,7.0000,135.0000,1.0000,NaN,NaN,se sac— del transecto 2
38,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,2.8000,NaN,13.0000,NaN,1.0000,118.0000,1.0000,NaN,NaN,se sac— del transecto 2
39,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,3.2800,NaN,21.0000,NaN,11.0000,118.0000,1.0000,NaN,NaN,se sac— del transecto 2
40,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,2.4800,NaN,18.0000,NaN,2.0000,156.0000,1.0000,NaN,NaN,se sac— del transecto 2
41,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,0.0180,NaN,1.8000,NaN,2.0000,18.0000,0.0000,NaN,NaN,se sac— del transecto 2
42,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,9.7900,45.0000,41.0000,NaN,8.0000,265.0000,0.0000,NaN,NaN,
43,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,8.9600,31.0000,26.0000,NaN,4.0000,240.0000,0.0000,NaN,NaN,
44,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,19.0000,47.0000,35.0000,NaN,7.0000,260.0000,1.0000,NaN,NaN,
45,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,9.3400,28.0000,22.0000,NaN,3.0000,290.0000,1.0000,NaN,NaN,
46,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,4.1600,34.0000,31.0000,NaN,6.0000,220.0000,1.0000,NaN,NaN,
47,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,4.3200,33.0000,30.0000,NaN,2.0000,220.0000,1.0000,NaN,NaN,
48,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,0.3800,15.0000,13.0000,NaN,1.0000,130.0000,1.0000,NaN,NaN,
49,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,13.8400,39.0000,32.0000,NaN,6.0000,250.0000,1.0000,NaN,NaN,
50,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,5.8400,46.0000,41.0000,NaN,6.0000,210.0000,1.0000,NaN,NaN,
51,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,2.9400,26.0000,24.0000,NaN,2.0000,270.0000,1.0000,NaN,NaN,
52,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,6.4400,29.0000,25.0000,NaN,5.0000,240.0000,1.0000,NaN,NaN,
53,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,2.2000,19.0000,17.0000,NaN,2.0000,180.0000,1.0000,NaN,NaN,
54,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,1.6000,19.0000,16.0000,NaN,1.0000,220.0000,1.0000,NaN,NaN,
55,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,4.4600,26.0000,22.0000,NaN,6.0000,230.0000,1.0000,NaN,NaN,
56,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,1.6200,28.0000,25.0000,NaN,3.0000,225.0000,1.0000,NaN,NaN,
57,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,6.9800,36.0000,30.0000,NaN,8.0000,180.0000,1.0000,NaN,NaN,
58,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,2.1600,27.0000,21.0000,NaN,2.0000,150.0000,1.0000,NaN,NaN,
59,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,1.2600,17.0000,15.0000,NaN,1.0000,230.0000,NaN,NaN,NaN,
60,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,2.2800,28.0000,21.0000,NaN,3.0000,150.0000,NaN,NaN,NaN,
61,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,3.2700,24.0000,21.0000,NaN,2.0000,225.0000,NaN,NaN,NaN,
62,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,2.1600,27.0000,23.0000,NaN,4.0000,195.0000,NaN,NaN,NaN,
63,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,6.0000,29.0000,26.0000,NaN,4.0000,240.0000,NaN,NaN,NaN,
64,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,1.4200,20.0000,18.0000,NaN,1.0000,260.0000,NaN,NaN,NaN,
65,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,2.5600,20.0000,18.0000,NaN,1.0000,210.0000,NaN,NaN,NaN,
66,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,2.4000,18.0000,18.0000,NaN,2.0000,235.0000,NaN,NaN,NaN,
67,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,7.3000,32.0000,27.0000,NaN,5.0000,245.0000,NaN,NaN,NaN,
68,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,1.9800,18.0000,16.0000,NaN,1.0000,187.0000,NaN,NaN,NaN,
69,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,0.9000,25.0000,11.0000,NaN,1.0000,174.0000,NaN,NaN,NaN,
70,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,1.4000,21.0000,17.0000,NaN,1.0000,218.0000,NaN,NaN,NaN,
71,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,0.6400,12.0000,13.0000,NaN,2.0000,113.0000,NaN,NaN,NaN,
72,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,0.3600,11.0000,12.0000,NaN,1.0000,118.0000,NaN,NaN,NaN,
73,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,5.2000,33.0000,26.0000,NaN,5.0000,216.0000,NaN,NaN,NaN,
